Age,CatsInHouse,HousingType,Zone,TimeOutside,TimeWithOwner,Shy,Calm,Skittish,Intelligent,Vigilant,Tenacious,Affectionate,Friendly,Loner,Ferocious,Territorial,Aggressive,Impulsive,Predictable,Inattentive,NaturalAreasAbundance,BirdsEater,MiceEater,Race
2-10 years,2,House in a subdivision,Rural,2,2,4,4,3,3,5,3,2,2,4,1,1,3,2,4,2,2.0,0,0,Persian
2-10 years,1,Apartment without balcony,Rural,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2.0,0,0,Chartreux
1-2 years,2,Individual house zone,Periurban,0,2,1,2,1,4,3,4,4,4,2,1,1,1,1,3,1,1.1168980407083642,0,0,Birman
2-10 years,1,Apartment with balcony or terrace,Urban,2,2,4,5,3,5,2,4,4,5,2,1,1,3,2,2,2,1.0,0,0,Ragdoll
2-10 years,1,Apartment without balcony,Urban,0,2,4,5,1,3,4,2,5,4,2,1,1,1,1,3,3,2.0,0,0,Ragdoll
Less than 1 year,2,Apartment with balcony or terrace,Rural,0,3,1,1,1,5,4,5,5,4,2,1,2,1,5,1,2,3.0,0,0,NoBreed
1-2 years,1,Apartment with balcony or terrace,Urban,0,2,1,3,3,4,4,3,5,5,1,1,3,3,2,4,3,1.0,0,0,Sphynx
1-2 years,1,Individual house zone,Periurban,2,2,1,4,4,4,5,4,5,4,2,1,3,3,1,4,3,3.0,1,2,Chartreux
2-10 years,2,Individual house zone,Periurban,2,2,1,4,4,5,4,4,5,4,2,2,4,3,3,3,4,3.0,3,3,European
2-10 years,1,Individual house zone,Rural,0,2,3,4,1,4,4,3,5,2,3,2,2,2,3,4,2,3.0,0,0,Chartreux
2-10 years,1,House in a subdivision,Rural,2,3,5,5,3,5,4,3,3,2,5,1,3,3,1,3,2,3.0,1,3,Siamese
2-10 years,2,Individual house zone,Rural,0,2,1,5,2,4,2,2,5,4,1,1,3,1,1,4,2,2.7402462162396737,0,0,Persian
2-10 years,5,Apartment with balcony or terrace,Urban,1,3,1,1,1,5,2,5,5,5,1,1,3,4,1,1,3,2.0,0,0,Sphynx
2-10 years,1,House in a subdivision,Rural,1,2,1,4,2,4,5,4,3,3,3,1,4,3,2,4,3,2.0813222030064957,0,0,Chartreux
2-10 years,1,Individual house zone,Periurban,1,2,4,4,2,4,4,4,2,1,4,1,1,1,1,4,1,2.7322718071846452,0,1,BritishShorthair
2-10 years,2,Apartment without balcony,Periurban,1,2,2,4,1,2,2,3,4,4,1,1,1,1,2,4,4,2.413770167983203,0,1,MaineCoon
2-10 years,1,Apartment with balcony or terrace,Urban,1,2,1,3,1,4,4,3,4,4,1,1,4,1,1,5,5,2.649412441193403,0,0,Birman
1-2 years,1,Apartment without balcony,Rural,0,2,4,3,1,4,4,2,3,1,4,2,5,4,4,3,4,2.4463686465125853,0,1,Savannah
2-10 years,1,Apartment without balcony,Urban,0,1,4,4,3,4,4,4,4,3,3,1,1,1,1,3,4,1.52041789824575,0,0,BritishShorthair
2-10 years,2,Apartment with balcony or terrace,Periurban,1,2,2,4,3,4,4,4,4,4,2,1,1,1,3,4,3,1.0,0,0,Birman
2-10 years,2,House in a subdivision,Rural,0,2,2,1,1,4,3,2,2,2,2,3,4,3,4,2,3,1.6651972206962,0,0,Sphynx
2-10 years,1,Apartment without balcony,Rural,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.2131574602573487,0,0,TurkishAngora
1-2 years,1,Apartment with balcony or terrace,Periurban,3,2,4,4,3,4,3,4,4,1,3,1,2,2,1,1,3,1.592939934841703,0,0,Persian
Less than 1 year,1,Apartment with balcony or terrace,Periurban,0,2,1,4,1,4,4,4,5,4,1,1,2,1,2,4,2,2.0,0,0,TurkishAngora
1-2 years,2,Apartment with balcony or terrace,Periurban,0,2,4,4,4,4,4,3,3,1,4,1,1,1,1,3,3,2.697641871493463,0,0,BritishShorthair
2-10 years,1,Apartment with balcony or terrace,Urban,0,2,3,3,3,4,4,4,4,3,2,2,3,1,3,4,2,1.7470193660767752,0,0,Chartreux
1-2 years,2,Apartment without balcony,Urban,0,2,1,3,3,4,3,4,5,4,1,2,3,3,3,3,3,1.0,0,0,Sphynx
Less than 1 year,1,House in a subdivision,Periurban,2,3,3,5,1,5,5,3,4,3,2,1,4,3,1,4,1,3.0,0,2,MaineCoon
1-2 years,1,House in a subdivision,Rural,2,1,1,3,1,4,4,4,4,5,3,3,4,1,3,4,3,2.611731616010128,0,3,NoBreed
1-2 years,4,Apartment with balcony or terrace,Urban,1,2,4,2,1,4,2,4,4,4,1,4,2,1,4,4,4,1.0,1,1,European
2-10 years,1,Individual house zone,Rural,0,2,5,4,3,3,5,4,3,3,5,1,3,3,1,4,2,3.0,0,0,BritishShorthair
2-10 years,2,House in a subdivision,Rural,3,1,3,1,3,5,5,5,4,2,4,1,1,1,4,2,3,3.0,3,3,European
1-2 years,4,House in a subdivision,Rural,0,2,2,4,4,5,5,4,5,4,1,1,3,1,1,1,1,3.0,0,0,Savannah
Less than 1 year,1,Apartment with balcony or terrace,Urban,1,2,4,2,4,4,4,4,2,2,2,3,3,3,4,4,5,1.0,0,0,European
